00547	01345	99.941	1701	1	0	1	1701	1	1701	0.0	3136
00548	01352	100.000	2193	0	0	1	2193	1	2193	0.0	4050
00549	01353	100.000	2103	0	0	109	2211	1	2103	0.0	3884
00550	01354	100.000	2589	0	0	1	2589	1	2589	0.0	4782
00551	01355	100.000	1992	0	0	1	1992	1	1992	0.0	3679
00600	01477	100.000	924	0	0	1	924	1	924	0.0	1707
00724	03394	100.000	882	0	0	1	882	55	936	0.0	1629
00724	02206	100.000	882	0	0	1	882	157	1038	0.0	1629
00724	02144	100.000	882	0	0	1	882	55	936	0.0	1629
00854	02147	100.000	744	0	0	1	744	1	744	0.0	1375
00855	02148	100.000	873	0	0	1	873	1	873	0.0	1613
00954	03394	100.000	882	0	0	1	882	55	936	0.0	1629
00954	02206	100.000	882	0	0	1	882	157	1038	0.0	1629
00954	02144	100.000	882	0	0	1	882	55	936	0.0	1629
01307	03349	100.000	891	0	0	73	963	1	891	0.0	1646
01307	03348	100.000	29	0	0	1	29	638	666	3.02e-09	54.7
01308	03351	100.000	1800	0	0	1	1800	1	1800	0.0	3325
01309	03352	100.000	783	0	0	1	783	1	783	0.0	1447
01310	03353	100.000	435	0	0	427	861	1	435	0.0	804
01310	03354	100.000	226	0	0	1	226	186	411	8.29e-119	418
01311	03362	100.000	4539	0	0	1	4539	1	4539	0.0	8383
01312	03364	100.000	912	0	0	1	912	1	912	0.0	1685
01313	03368	99.943	1755	1	0	1	1755	1	1755	0.0	3236
01323	03394	100.000	882	0	0	1	882	55	936	0.0	1629
01323	02206	100.000	882	0	0	1	882	157	1038	0.0	1629
01323	02144	100.000	882	0	0	1	882	55	936	0.0	1629
01351	03471	100.000	1236	0	0	16	1251	1	1236	0.0	2283
01352	03472	99.937	1599	1	0	112	1710	1	1599	0.0	2948
01352	03473	100.000	92	0	0	1	92	611	702	5.14e-44	171
01353	03475	99.887	885	1	0	16	900	1	885	0.0	1629
01354	03478	100.000	1734	0	0	1	1734	1	1734	0.0	3203
01355	03479	99.911	1125	1	0	1	1125	1	1125	0.0	2073
01356	03482	100.000	897	0	0	19	915	1	897	0.0	1657
01357	03488	100.000	1032	0	0	1	1032	1	1032	0.0	1906
01358	03492	100.000	1224	0	0	1	1224	1	1224	0.0	2261
01359	03497	99.837	1230	1	1	1	1229	1	1230	0.0	2259
01359	03496	100.000	753	0	0	1330	2082	1	753	0.0	1391
